Order ID,Product Name,Units Purchased,Unit Price,Order Date,Delivery Address
175667,iPhone,1,700.0,04/24/24 19:12,"135 Meadow St, Boston, MA 02215"
175668,AA Batteries (4-pack),1,5.84,04/20/24 13:45,"592 4th St, San Francisco, CA 94016"
175669,AA Batteries (4-pack),1,5.84,04/28/24 09:17,"632 Park St, Dallas, TX 75001"
175670,AA Batteries (4-pack),2,5.84,04/23/24 14:06,"131 Pine St, San Francisco, CA 94016"
175671,Samsung Odyssey Monitor,1,409.99,04/23/24 12:13,"836 Forest St, Boston, MA 02215"
175672,USB-C Charging Cable,1,11.95,04/04/24 07:34,"574 4th St, San Francisco, CA 94016"
175673,Flatscreen TV,1,300.0,04/05/24 22:48,"219 Center St, San Francisco, CA 94016"
175674,Apple Airpods Headphones,1,150.0,04/03/24 18:56,"84 11th St, Los Angeles, CA 90001"
175675,Lightning Charging Cable,1,14.95,04/24/24 20:59,"141 Maple St, San Francisco, CA 94016"
175676,Apple Airpods Headphones,1,150.0,04/04/24 20:44,"270 Cherry St, Austin, TX 73301"
175677,Bose SoundSport Headphones,1,99.99,04/03/24 20:54,"159 2nd St, San Francisco, CA 94016"
175678,Bose SoundSport Headphones,1,99.99,04/01/24 06:58,"220 Forest St, New York City, NY 10001"
175679,Bose SoundSport Headphones,1,99.99,04/13/24 21:05,"914 8th St, Los Angeles, CA 90001"
175680,Lightning Charging Cable,1,14.95,04/06/24 09:07,"212 13th St, Seattle, WA 98101"
175681,Bose SoundSport Headphones,1,99.99,04/13/24 12:30,"459 11th St, Boston, MA 02215"
175682,Apple Airpods Headphones,1,150.0,04/26/24 17:29,"356 Lakeview St, New York City, NY 10001"
175683,Dell UltraSharp Monitor,1,410.99,04/04/24 12:44,"602 2nd St, Los Angeles, CA 90001"
175684,AAA Batteries (4-pack),1,4.99,04/18/24 07:57,"26 Cedar St, San Francisco, CA 94016"
175685,AA Batteries (4-pack),1,5.84,04/06/24 13:37,"259 9th St, Los Angeles, CA 90001"
175686,AA Batteries (4-pack),2,5.84,04/23/24 13:33,"456 13th St, San Francisco, CA 94016"
175687,USB-C Charging Cable,1,11.95,04/27/24 12:12,"480 Center St, Boston, MA 02215"
175688,USB-C Charging Cable,1,11.95,04/06/24 22:04,"17 Highland St, Los Angeles, CA 90001"
175689,Samsung Odyssey Monitor,1,409.99,04/26/24 08:05,"651 Lincoln St, San Francisco, CA 94016"
175690,AA Batteries (4-pack),1,5.84,04/13/24 12:21,"988 Chestnut St, Atlanta, GA 30301"
175691,Lightning Charging Cable,1,14.95,04/13/24 12:13,"663 Elm St, Portland, OR 97035"
175692,Dell UltraSharp Monitor,1,410.99,04/13/24 08:02,"193 Chestnut St, New York City, NY 10001"
175693,iPhone,1,700.0,04/07/24 20:25,"910 Highland St, New York City, NY 10001"
175694,Bose SoundSport Headphones,1,99.99,04/28/24 23:15,"669 Johnson St, Dallas, TX 75001"
175695,Bose SoundSport Headphones,1,99.99,04/14/24 20:08,"374 Jackson St, New York City, NY 10001"
175696,Lightning Charging Cable,1,14.95,04/04/24 17:57,"776 South St, Austin, TX 73301"
175697,Lightning Charging Cable,2,14.95,04/22/24 21:28,"430 Lincoln St, Boston, MA 02215"
175698,USB-C Charging Cable,1,11.95,04/08/24 16:47,"240 South St, Boston, MA 02215"
175699,iPhone,1,700.0,04/27/24 11:05,"478 8th St, Dallas, TX 75001"
175700,USB-C Charging Cable,1,11.95,04/08/24 08:05,"445 Hill St, Atlanta, GA 30301"
175701,Macbook Pro Laptop,1,1700.0,04/01/24 19:38,"948 Pine St, Dallas, TX 75001"
175702,iPhone,1,700.0,04/22/24 16:50,"101 5th St, Austin, TX 73301"
175702,Lightning Charging Cable,1,14.95,04/22/24 16:50,"101 5th St, Austin, TX 73301"
175703,AA Batteries (4-pack),2,5.84,04/26/24 19:01,"428 5th St, Boston, MA 02215"
175704,Dell UltraSharp Monitor,1,410.99,04/25/24 19:58,"463 4th St, Seattle, WA 98101"
175705,Samsung Galaxy Phone,1,650.0,04/14/24 14:49,"582 Hill St, Dallas, TX 75001"
175705,USB-C Charging Cable,1,11.95,04/14/24 14:49,"582 Hill St, Dallas, TX 75001"
175706,AAA Batteries (4-pack),1,4.99,04/13/24 20:59,"843 Sunset St, San Francisco, CA 94016"
175707,Dell Laptop,1,1500.99,04/06/24 22:54,"256 West St, San Francisco, CA 94016"
175708,Lightning Charging Cable,1,14.95,04/26/24 11:53,"629 10th St, Los Angeles, CA 90001"
175709,Lightning Charging Cable,1,14.95,04/04/24 13:29,"632 Willow St, San Francisco, CA 94016"
175710,Flatscreen TV,1,300.0,04/19/24 23:05,"746 Walnut St, New York City, NY 10001"
175711,AA Batteries (4-pack),4,5.84,04/29/24 17:43,"450 South St, Austin, TX 73301"
175712,Galaxy buds Headphones,1,120.0,04/08/24 20:54,"358 14th St, Los Angeles, CA 90001"
175713,Apple Airpods Headphones,1,150.0,04/05/24 13:06,"377 Jefferson St, San Francisco, CA 94016"
175714,USB-C Charging Cable,1,11.95,04/09/24 19:47,"409 Johnson St, New York City, NY 10001"
175715,Apple Airpods Headphones,1,150.0,04/06/24 09:07,"46 4th St, New York City, NY 10001"
175716,AAA Batteries (4-pack),1,4.99,04/13/24 15:29,"904 12th St, Seattle, WA 98101"
175717,Lightning Charging Cable,1,14.95,04/07/24 22:14,"383 Church St, Seattle, WA 98101"
175718,AAA Batteries (4-pack),2,4.99,04/10/24 17:42,"143 1st St, Dallas, TX 75001"
175719,Bose SoundSport Headphones,1,99.99,04/16/24 11:08,"473 Wilson St, New York City, NY 10001"
175720,Bose SoundSport Headphones,1,99.99,04/27/24 11:12,"54 North St, Atlanta, GA 30301"
175721,USB-C Charging Cable,1,11.95,04/08/24 19:54,"647 Meadow St, Los Angeles, CA 90001"
175722,Macbook Pro Laptop,1,1700.0,04/21/24 18:42,"396 Pine St, Dallas, TX 75001"
175723,AA Batteries (4-pack),1,5.84,04/19/24 12:35,"949 Lake St, San Francisco, CA 94016"
175724,AA Batteries (4-pack),1,5.84,04/16/24 14:23,"140 10th St, San Francisco, CA 94016"
175725,AA Batteries (4-pack),1,5.84,04/08/24 15:14,"583 1st St, San Francisco, CA 94016"
175726,AAA Batteries (4-pack),3,4.99,04/12/24 22:31,"49 Hickory St, New York City, NY 10001"
175727,Galaxy buds Headphones,1,120.0,04/27/24 17:46,"693 12th St, San Francisco, CA 94016"
175728,LG UltraGear Monitor,1,399.99,04/12/24 18:48,"438 Dogwood St, Boston, MA 02215"
175729,AAA Batteries (4-pack),1,4.99,04/07/24 21:13,"770 2nd St, Austin, TX 73301"
175730,Apple Airpods Headphones,1,150.0,04/21/24 13:48,"166 Elm St, Seattle, WA 98101"
175731,LG UltraGear Monitor,1,399.99,04/24/24 00:00,"970 10th St, Dallas, TX 75001"
175732,Bose SoundSport Headphones,1,99.99,04/03/24 09:37,"947 Lake St, San Francisco, CA 94016"
