Order ID,Product Name,Units Purchased,Unit Price,Order Date,Delivery Address
225430,USB-C Charging Cable,1,11.95,08/08/24 18:35,"469 Jackson St, Portland, ME 04101"
225431,Alienware Monitor,1,400.99,08/12/24 10:39,"16 Park St, New York City, NY 10001"
225432,Dell UltraSharp Monitor,1,410.99,08/13/24 16:36,"189 12th St, Dallas, TX 75001"
225433,USB-C Charging Cable,1,11.95,08/07/24 01:10,"464 13th St, Austin, TX 73301"
225434,AA Batteries (4-pack),1,5.84,08/09/24 12:23,"782 Cherry St, Portland, OR 97035"
225435,AAA Batteries (4-pack),1,4.99,08/19/24 18:52,"973 8th St, Dallas, TX 75001"
225436,Macbook Pro Laptop,1,1700.0,08/28/24 14:05,"12 Meadow St, New York City, NY 10001"
225437,Galaxy buds Headphones,1,120.0,08/10/24 14:05,"912 5th St, New York City, NY 10001"
225438,AA Batteries (4-pack),1,5.84,08/25/24 19:16,"436 7th St, Los Angeles, CA 90001"
225439,Dell UltraSharp Monitor,1,410.99,08/13/24 20:58,"790 Spruce St, Boston, MA 02215"
225440,USB-C Charging Cable,1,11.95,08/23/24 16:13,"855 Spruce St, New York City, NY 10001"
225441,AA Batteries (4-pack),1,5.84,08/17/24 19:31,"784 5th St, San Francisco, CA 94016"
225442,Bose SoundSport Headphones,1,99.99,08/17/24 10:54,"803 Walnut St, San Francisco, CA 94016"
225443,AAA Batteries (4-pack),1,4.99,08/17/24 23:52,"203 Hill St, Dallas, TX 75001"
225444,Apple Airpods Headphones,1,150.0,08/23/24 12:47,"780 7th St, San Francisco, CA 94016"
225445,USB-C Charging Cable,1,11.95,08/03/24 20:53,"355 Park St, New York City, NY 10001"
225446,USB-C Charging Cable,1,11.95,08/09/24 18:24,"47 4th St, Boston, MA 02215"
225447,Dell UltraSharp Monitor,1,410.99,08/08/24 10:05,"156 Forest St, San Francisco, CA 94016"
225448,Lightning Charging Cable,1,14.95,08/04/24 09:23,"514 Center St, Boston, MA 02215"
225449,Lightning Charging Cable,1,14.95,08/31/24 17:59,"575 Highland St, Portland, OR 97035"
225450,Dell Laptop,1,1500.99,08/16/24 17:15,"719 Ridge St, Portland, OR 97035"
225451,AAA Batteries (4-pack),1,4.99,08/24/24 15:25,"202 Johnson St, San Francisco, CA 94016"
225452,Apple Airpods Headphones,1,150.0,08/31/24 22:12,"272 9th St, Dallas, TX 75001"
225453,Bose SoundSport Headphones,1,99.99,08/30/24 14:05,"278 Pine St, New York City, NY 10001"
225454,AA Batteries (4-pack),1,5.84,08/26/24 15:54,"181 11th St, San Francisco, CA 94016"
225455,Lightning Charging Cable,1,14.95,08/31/24 15:37,"786 Park St, Boston, MA 02215"
225456,AAA Batteries (4-pack),1,4.99,08/12/24 09:15,"47 Jefferson St, Dallas, TX 75001"
225457,Lightning Charging Cable,1,14.95,08/14/24 09:43,"249 12th St, Dallas, TX 75001"
225458,AAA Batteries (4-pack),1,4.99,08/12/24 18:44,"975 7th St, New York City, NY 10001"
225459,Lightning Charging Cable,1,14.95,08/17/24 19:51,"32 Sunset St, Portland, OR 97035"
