Order ID,Product Name,Units Purchased,Unit Price,Order Date,Delivery Address
279891,Dell UltraSharp Monitor,1,410.99,12/17/24 20:52,"189 2nd St, Portland, OR 97035"
279892,Samsung Odyssey Monitor,1,409.99,12/28/24 09:53,"335 Church St, Seattle, WA 98101"
279892,AAA Batteries (4-pack),1,4.99,12/28/24 09:53,"335 Church St, Seattle, WA 98101"
279893,AAA Batteries (4-pack),1,4.99,12/13/24 10:28,"576 5th St, Atlanta, GA 30301"
279894,Macbook Pro Laptop,1,1700.0,12/16/24 19:52,"177 Elm St, Portland, OR 97035"
279895,Lightning Charging Cable,1,14.95,12/12/24 18:15,"761 Chestnut St, Portland, OR 97035"
279896,Galaxy buds Headphones,1,120.0,12/12/24 06:45,"22 Dogwood St, San Francisco, CA 94016"
279897,AA Batteries (4-pack),1,5.84,12/13/24 00:08,"958 Maple St, New York City, NY 10001"
279898,Dell Laptop,1,1500.99,12/03/24 18:48,"152 1st St, Portland, OR 97035"
279899,USB-C Charging Cable,1,11.95,12/13/24 12:21,"220 Main St, San Francisco, CA 94016"
279900,LG UltraGear Monitor,1,399.99,12/12/24 20:09,"224 Dogwood St, Atlanta, GA 30301"
279901,Dell Laptop,1,1500.99,12/15/24 15:04,"309 9th St, Boston, MA 02215"
279902,Apple Airpods Headphones,1,150.0,12/02/24 19:29,"442 2nd St, Los Angeles, CA 90001"
279903,Bose SoundSport Headphones,1,99.99,12/11/24 16:20,"767 Lakeview St, New York City, NY 10001"
279904,AA Batteries (4-pack),1,5.84,12/25/24 14:11,"533 Maple St, Dallas, TX 75001"
279905,LG UltraGear Monitor,1,399.99,12/22/24 21:58,"401 Lake St, Los Angeles, CA 90001"
279906,AA Batteries (4-pack),1,5.84,12/18/24 16:04,"407 Madison St, San Francisco, CA 94016"
279907,Samsung Galaxy Phone,1,650.0,12/17/24 13:59,"704 Dogwood St, San Francisco, CA 94016"
279908,Galaxy buds Headphones,1,120.0,12/10/24 13:09,"473 7th St, Portland, OR 97035"
279909,AAA Batteries (4-pack),1,4.99,12/29/24 12:54,"65 Meadow St, San Francisco, CA 94016"
279910,AA Batteries (4-pack),1,5.84,12/12/24 19:08,"101 North St, San Francisco, CA 94016"
279911,iPhone,1,700.0,12/16/24 09:23,"961 Cherry St, New York City, NY 10001"
279912,iPhone,1,700.0,12/26/24 17:08,"591 Dogwood St, Austin, TX 73301"
279912,Lightning Charging Cable,1,14.95,12/26/24 17:08,"591 Dogwood St, Austin, TX 73301"
279913,Galaxy buds Headphones,2,120.0,12/29/24 09:44,"631 Center St, San Francisco, CA 94016"
279914,Apple Airpods Headphones,1,150.0,12/18/24 00:07,"983 Highland St, Austin, TX 73301"
279915,USB-C Charging Cable,1,11.95,12/27/24 19:38,"549 Church St, Portland, OR 97035"
279916,Lightning Charging Cable,1,14.95,12/28/24 10:40,"926 5th St, Dallas, TX 75001"
279917,Bose SoundSport Headphones,1,99.99,12/20/24 07:16,"427 Chestnut St, San Francisco, CA 94016"
,,,,,
