Order ID,Product Name,Units Purchased,Unit Price,Order Date,Delivery Address
160625,USB-C Charging Cable,1,11.95,02/15/24 06:57,"57 Madison St, Seattle, WA 98101"
160626,AA Batteries (4-pack),1,5.84,02/18/24 09:24,"584 6th St, New York City, NY 10001"
160627,AA Batteries (4-pack),1,5.84,02/24/24 13:27,"716 Center St, Dallas, TX 75001"
160628,USB-C Charging Cable,1,11.95,02/01/24 11:19,"98 Jefferson St, Portland, OR 97035"
160628,Bose SoundSport Headphones,1,99.99,02/01/24 11:19,"98 Jefferson St, Portland, OR 97035"
160629,Flatscreen TV,1,300.0,02/26/24 19:36,"911 Park St, San Francisco, CA 94016"
160630,AAA Batteries (4-pack),1,4.99,02/03/24 10:50,"527 Wilson St, San Francisco, CA 94016"
160631,AA Batteries (4-pack),1,5.84,02/27/24 18:06,"541 Dogwood St, Seattle, WA 98101"
160632,AAA Batteries (4-pack),2,4.99,02/12/24 09:07,"515 Wilson St, New York City, NY 10001"
160633,Galaxy buds Headphones,1,120.0,02/24/24 13:03,"32 Elm St, Portland, ME 04101"
160634,USB-C Charging Cable,2,11.95,02/02/24 08:25,"97 Washington St, San Francisco, CA 94016"
160635,AAA Batteries (4-pack),1,4.99,02/13/24 07:57,"992 14th St, Dallas, TX 75001"
160636,Dell UltraSharp Monitor,1,410.99,02/04/24 08:11,"606 1st St, New York City, NY 10001"
160637,Google Phone,1,600.0,02/25/24 09:41,"63 Cedar St, Seattle, WA 98101"
160638,Lightning Charging Cable,1,14.95,02/17/24 00:26,"476 Johnson St, San Francisco, CA 94016"
160639,iPhone,1,700.0,02/23/24 17:25,"25 Ridge St, New York City, NY 10001"
160640,Bose SoundSport Headphones,1,99.99,02/07/24 12:53,"610 South St, Los Angeles, CA 90001"
160641,iPhone,1,700.0,02/03/24 22:45,"800 Sunset St, New York City, NY 10001"
160642,Google Phone,1,600.0,02/13/24 19:59,"144 Jefferson St, Atlanta, GA 30301"
160643,USB-C Charging Cable,1,11.95,02/29/24 12:17,"392 6th St, Dallas, TX 75001"
160644,Lightning Charging Cable,1,14.95,02/10/24 13:14,"588 Lakeview St, San Francisco, CA 94016"
160645,Samsung Odyssey Monitor,1,409.99,02/17/24 19:36,"98 Maple St, Portland, OR 97035"
160646,Lightning Charging Cable,1,14.95,02/14/24 09:06,"577 4th St, Atlanta, GA 30301"
160647,USB-C Charging Cable,2,11.95,02/21/24 17:41,"883 Ridge St, New York City, NY 10001"
160648,Galaxy buds Headphones,1,120.0,02/03/24 07:46,"493 Madison St, Boston, MA 02215"
160649,Flatscreen TV,1,300.0,02/21/24 06:19,"710 13th St, Los Angeles, CA 90001"
160650,Macbook Pro Laptop,1,1700.0,02/29/24 16:21,"676 Ridge St, Dallas, TX 75001"
