Order ID,Product Name,Units Purchased,Unit Price,Order Date,Delivery Address
141234,Dell UltraSharp Monitor,1,410.99,01/10/24 10:27,"590 Washington St, New York City, NY 10001"
141235,AAA Batteries (4-pack),1,4.99,01/22/24 09:33,"208 1st St, San Francisco, CA 94016"
141236,AA Batteries (4-pack),1,5.84,01/19/24 19:11,"53 Meadow St, Los Angeles, CA 90001"
141237,USB-C Charging Cable,1,11.95,01/30/24 13:34,"800 Dogwood St, Austin, TX 73301"
141238,Samsung Odyssey Monitor,1,409.99,01/16/24 08:56,"746 4th St, San Francisco, CA 94016"
141239,Apple Airpods Headphones,1,150.0,01/17/24 21:32,"755 2nd St, New York City, NY 10001"
141240,Galaxy buds Headphones,1,120.0,01/11/24 13:27,"431 9th St, Austin, TX 73301"
141241,Samsung Galaxy Phone,1,650.0,01/10/24 15:10,"724 7th St, Dallas, TX 75001"
141241,USB-C Charging Cable,1,11.95,01/10/24 15:10,"724 7th St, Dallas, TX 75001"
141242,Lightning Charging Cable,1,14.95,01/05/24 13:14,"236 Willow St, San Francisco, CA 94016"
141243,USB-C Charging Cable,1,11.95,01/29/24 08:53,"764 1st St, Los Angeles, CA 90001"
141244,LG UltraGear Monitor,1,399.99,01/26/24 07:54,"599 Washington St, San Francisco, CA 94016"
141245,AAA Batteries (4-pack),1,4.99,01/22/24 15:58,"48 South St, Los Angeles, CA 90001"
141246,USB-C Charging Cable,2,11.95,01/18/24 22:17,"886 Chestnut St, Boston, MA 02215"
141247,Lightning Charging Cable,1,14.95,01/26/24 17:41,"140 Adams St, Boston, MA 02215"
141248,AA Batteries (4-pack),1,5.84,01/18/24 19:25,"895 Adams St, San Francisco, CA 94016"
141249,LG UltraGear Monitor,1,399.99,01/27/24 21:19,"58 Willow St, Boston, MA 02215"
141250,Google Phone,1,600.0,01/13/24 00:46,"342 Sunset St, New York City, NY 10001"
141251,AAA Batteries (4-pack),1,4.99,01/21/24 17:29,"391 Willow St, Boston, MA 02215"
141252,Apple Airpods Headphones,1,150.0,01/27/24 08:34,"657 Hill St, San Francisco, CA 94016"
141253,Lightning Charging Cable,1,14.95,01/26/24 11:29,"580 Washington St, Boston, MA 02215"
141254,AA Batteries (4-pack),1,5.84,01/23/24 08:28,"984 River St, Boston, MA 02215"
141255,Lightning Charging Cable,1,14.95,01/08/24 11:25,"981 Highland St, San Francisco, CA 94016"
141256,Bose SoundSport Headphones,1,99.99,01/05/24 13:30,"959 14th St, Austin, TX 73301"
141257,Bose SoundSport Headphones,1,99.99,01/01/24 12:05,"668 7th St, Atlanta, GA 30301"
141258,USB-C Charging Cable,1,11.95,01/05/24 22:19,"984 12th St, San Francisco, CA 94016"
141259,AAA Batteries (4-pack),1,4.99,01/12/24 22:52,"309 North St, San Francisco, CA 94016"
141260,AA Batteries (4-pack),1,5.84,01/14/24 14:25,"418 Meadow St, Seattle, WA 98101"
