Order ID,Product Name,Units Purchased,Unit Price,Order Date,Delivery Address
212726,AAA Batteries (4-pack),1,4.99,07/10/24 18:42,"613 11th St, San Francisco, CA 94016"
212727,AA Batteries (4-pack),1,5.84,07/07/24 17:37,"317 Sunset St, Boston, MA 02215"
212728,Samsung Odyssey Monitor,1,409.99,07/25/24 21:42,"474 10th St, San Francisco, CA 94016"
212729,Bose SoundSport Headphones,1,99.99,07/04/24 16:06,"340 Jefferson St, Dallas, TX 75001"
212730,AAA Batteries (4-pack),1,4.99,07/21/24 08:18,"91 Pine St, San Francisco, CA 94016"
212731,Dell UltraSharp Monitor,1,410.99,07/03/24 16:09,"636 7th St, Los Angeles, CA 90001"
212732,AA Batteries (4-pack),1,5.84,07/01/24 14:04,"860 13th St, Atlanta, GA 30301"
212733,LG UltraGear Monitor,1,399.99,07/20/24 17:50,"747 Pine St, New York City, NY 10001"
212734,Apple Airpods Headphones,1,150.0,07/31/24 13:12,"500 Lake St, San Francisco, CA 94016"
212735,USB-C Charging Cable,1,11.95,07/06/24 21:12,"698 10th St, Los Angeles, CA 90001"
212736,Apple Airpods Headphones,1,150.0,07/11/24 16:57,"896 Ridge St, San Francisco, CA 94016"
212737,Flatscreen TV,1,300.0,07/05/24 18:49,"838 West St, Austin, TX 73301"
212738,Macbook Pro Laptop,1,1700.0,07/13/24 00:10,"834 Forest St, Austin, TX 73301"
212738,Galaxy buds Headphones,1,120.0,07/13/24 00:10,"834 Forest St, Austin, TX 73301"
212739,AA Batteries (4-pack),1,5.84,07/29/24 12:23,"488 Forest St, San Francisco, CA 94016"
Order ID,Product Name,Units Purchased,Unit Price,Order Date,Delivery Address
212740,Bose SoundSport Headphones,1,99.99,07/24/24 15:07,"194 Wilson St, San Francisco, CA 94016"
212741,USB-C Charging Cable,1,11.95,07/04/24 16:56,"111 Main St, Austin, TX 73301"
212742,USB-C Charging Cable,2,11.95,07/09/24 11:36,"251 Madison St, Los Angeles, CA 90001"
212743,Alienware Monitor,1,400.99,07/01/24 13:04,"681 South St, San Francisco, CA 94016"
212744,Macbook Pro Laptop,1,1700,07/24/24 14:33,"29 Dogwood St, Atlanta, GA 30301"
212745,Dell UltraSharp Monitor,1,410.99,07/11/24 03:13,"520 Jackson St, New York City, NY 10001"
212746,Galaxy buds Headphones,1,120,07/28/24 03:22,"410 Highland St, Atlanta, GA 30301"
212747,Apple Airpods Headphones,1,150,07/11/24 14:16,"940 Johnson St, Seattle, WA 98101"
212748,AA Batteries (4-pack),2,5.84,07/25/24 19:23,"240 7th St, New York City, NY 10001"
212749,AAA Batteries (4-pack),1,4.99,07/13/24 17:12,"606 Jefferson St, Boston, MA 02215"
212750,Lightning Charging Cable,1,14.95,07/03/24 12:45,"871 Hickory St, New York City, NY 10001"
212751,iPhone,1,700,07/09/24 08:14,"430 Johnson St, Austin, TX 73301"
212752,Galaxy buds Headphones,1,120,07/07/24 19:07,"100 Ridge St, San Francisco, CA 94016"
212753,Lightning Charging Cable,1,14.95,07/02/24 17:02,"259 Jefferson St, Los Angeles, CA 90001"
212754,Alienware Monitor,1,400.99,07/06/24 10:06,"981 Wilson St, Portland, OR 97035"
212755,Google Phone,1,600,07/31/24 12:02,"572 Wilson St, New York City, NY 10001"
212756,AAA Batteries (4-pack),1,4.99,07/26/24 22:14,"728 Highland St, Boston, MA 02215"
212757,Google Phone,1,600,07/25/24 10:44,"397 9th St, San Francisco, CA 94016"
212758,Samsung Galaxy Phone,1,650,07/25/24 18:17,"799 Cherry St, San Francisco, CA 94016"
212759,Samsung Odyssey Monitor,1,409.99,07/10/24 11:01,"224 Elm St, Seattle, WA 98101"
212760,Flatscreen TV,1,300,07/27/24 23:07,"680 Hill St, Los Angeles, CA 90001"
212761,USB-C Charging Cable,1,11.95,07/01/24 15:00,"312 Wilson St, San Francisco, CA 94016"
212762,AAA Batteries (4-pack),1,4.99,07/21/24 21:25,"655 Sunset St, San Francisco, CA 94016"
212763,Macbook Pro Laptop,1,1700,07/01/24 20:10,"853 Wilson St, Portland, OR 97035"
212764,AAA Batteries (4-pack),1,4.99,07/26/24 23:46,"364 Washington St, Atlanta, GA 30301"
212765,Lightning Charging Cable,1,14.95,07/06/24 21:25,"777 4th St, Los Angeles, CA 90001"
212766,LG UltraGear Monitor,1,399.99,07/20/24 21:41,"373 1st St, Portland, OR 97035"
212767,AA Batteries (4-pack),1,5.84,07/15/24 08:17,"675 Jefferson St, San Francisco, CA 94016"
212768,AAA Batteries (4-pack),1,4.99,07/04/24 21:15,"647 Lakeview St, Los Angeles, CA 90001"
212769,iPhone,1,700,07/10/24 13:55,"826 River St, Boston, MA 02215"
212770,Galaxy buds Headphones,1,120,07/26/24 12:41,"300 Ridge St, Dallas, TX 75001"
212771,Google Phone,1,600,07/13/24 20:46,"892 Main St, Los Angeles, CA 90001"
212772,AA Batteries (4-pack),1,5.84,07/17/24 16:36,"152 2nd St, Portland, OR 97035"
212773,USB-C Charging Cable,1,11.95,07/01/24 12:25,"805 Washington St, Los Angeles, CA 90001"
212774,Samsung Odyssey Monitor,1,409.99,07/01/24 12:08,"909 Madison St, Boston, MA 02215"
212775,USB-C Charging Cable,1,11.95,07/27/24 00:06,"409 Cedar St, San Francisco, CA 94016"
212776,AAA Batteries (4-pack),2,4.99,07/14/24 17:13,"87 Walnut St, Portland, OR 97035"
212777,Samsung Galaxy Phone,1,650,07/14/24 11:11,"623 5th St, San Francisco, CA 94016"
212777,USB-C Charging Cable,1,11.95,07/14/24 11:11,"623 5th St, San Francisco, CA 94016"
212778,AAA Batteries (4-pack),1,4.99,07/16/24 13:16,"70 Church St, San Francisco, CA 94016"
212779,Macbook Pro Laptop,1,1700,07/16/24 23:56,"133 Johnson St, Los Angeles, CA 90001"
212780,USB-C Charging Cable,1,11.95,07/04/24 13:04,"982 11th St, San Francisco, CA 94016"
212781,Lightning Charging Cable,1,14.95,07/10/24 10:56,"532 1st St, Seattle, WA 98101"
212782,AAA Batteries (4-pack),1,4.99,07/23/24 12:47,"334 13th St, Portland, OR 97035"
212783,AAA Batteries (4-pack),2,4.99,07/27/24 06:39,"562 Main St, San Francisco, CA 94016"
212784,AAA Batteries (4-pack),1,4.99,07/24/24 20:06,"282 Hill St, New York City, NY 10001"
212785,AAA Batteries (4-pack),1,4.99,07/13/24 23:07,"814 Jefferson St, New York City, NY 10001"
212786,Flatscreen TV,1,300,07/24/24 20:12,"162 Dogwood St, San Francisco, CA 94016"
212787,Lightning Charging Cable,1,14.95,07/30/24 15:24,"381 North St, San Francisco, CA 94016"
212788,Apple Airpods Headphones,1,150,07/06/24 03:53,"13 Chestnut St, Atlanta, GA 30301"
212789,Lightning Charging Cable,1,14.95,07/08/24 23:49,"327 Sunset St, Los Angeles, CA 90001"
212790,Samsung Odyssey Monitor,1,409.99,07/31/24 22:23,"411 4th St, Atlanta, GA 30301"
212791,Flatscreen TV,1,300,07/04/24 20:05,"917 Cherry St, Los Angeles, CA 90001"
212792,AAA Batteries (4-pack),1,4.99,07/31/24 23:25,"42 7th St, New York City, NY 10001"
212793,Google Phone,1,600,07/15/24 16:26,"51 Dogwood St, New York City, NY 10001"
212794,USB-C Charging Cable,1,11.95,07/17/24 11:33,"992 2nd St, Los Angeles, CA 90001"
212795,Lightning Charging Cable,1,14.95,07/16/24 16:27,"661 West St, Atlanta, GA 30301"
212796,AA Batteries (4-pack),1,5.84,07/30/24 22:52,"831 West St, Boston, MA 02215"
212797,Apple Airpods Headphones,1,150,07/30/24 14:48,"571 Church St, Atlanta, GA 30301"
212798,Samsung Odyssey Monitor,1,409.99,07/18/24 19:06,"137 Main St, Los Angeles, CA 90001"
212799,Samsung Odyssey Monitor,1,409.99,07/09/24 09:41,"847 2nd St, Dallas, TX 75001"
212799,Dell UltraSharp Monitor,1,410.99,07/09/24 09:41,"847 2nd St, Dallas, TX 75001"
212800,Dell Laptop,1,1500.99,07/07/24 10:50,"616 Center St, Los Angeles, CA 90001"
212801,USB-C Charging Cable,2,11.95,07/27/24 01:51,"85 Center St, Atlanta, GA 30301"
212802,Lightning Charging Cable,2,14.95,07/05/24 00:24,"515 8th St, San Francisco, CA 94016"
212803,Lightning Charging Cable,1,14.95,07/21/24 14:20,"274 Adams St, Atlanta, GA 30301"
212804,Lightning Charging Cable,1,14.95,07/10/24 20:24,"142 Meadow St, Los Angeles, CA 90001"
212805,USB-C Charging Cable,1,11.95,07/07/24 17:28,"794 12th St, Austin, TX 73301"
212806,AA Batteries (4-pack),1,5.84,07/14/24 10:15,"45 Walnut St, Boston, MA 02215"
212807,Apple Airpods Headphones,1,150,07/14/24 09:59,"556 Chestnut St, Los Angeles, CA 90001"
212808,AAA Batteries (4-pack),1,4.99,07/30/24 10:48,"136 South St, Austin, TX 73301"
212809,iPhone,1,700,07/05/24 12:42,"58 Meadow St, San Francisco, CA 94016"
212810,Galaxy buds Headphones,1,120,07/02/24 13:54,"3 8th St, Seattle, WA 98101"
212811,Google Phone,1,600,07/06/24 22:44,"193 North St, Boston, MA 02215"
212812,Lightning Charging Cable,1,14.95,07/07/24 23:32,"221 River St, Los Angeles, CA 90001"
212813,AA Batteries (4-pack),1,5.84,07/04/24 02:24,"274 Johnson St, New York City, NY 10001"
212814,USB-C Charging Cable,1,11.95,07/06/24 18:00,"322 South St, San Francisco, CA 94016"
212815,LG UltraGear Monitor,1,399.99,07/14/24 17:29,"390 Lake St, New York City, NY 10001"
212816,USB-C Charging Cable,1,11.95,07/03/24 13:27,"67 Main St, Boston, MA 02215"
212817,USB-C Charging Cable,1,11.95,07/14/24 11:17,"776 14th St, New York City, NY 10001"
212818,Lightning Charging Cable,1,14.95,07/05/24 20:17,"206 Adams St, Boston, MA 02215"
212819,Apple Airpods Headphones,1,150,07/19/24 20:38,"209 South St, San Francisco, CA 94016"
212820,Samsung Odyssey Monitor,1,409.99,07/05/24 10:57,"42 Maple St, Boston, MA 02215"
212821,Dell UltraSharp Monitor,1,410.99,07/22/24 21:49,"625 8th St, Los Angeles, CA 90001"
212822,USB-C Charging Cable,1,11.95,07/09/24 19:10,"45 5th St, New York City, NY 10001"
212823,Bose SoundSport Headphones,1,99.99,07/27/24 13:34,"697 Forest St, San Francisco, CA 94016"
212824,AA Batteries (4-pack),1,5.84,07/31/24 17:41,"428 2nd St, San Francisco, CA 94016"
212825,Flatscreen TV,1,300,07/16/24 20:19,"619 Center St, Atlanta, GA 30301"
212826,Dell UltraSharp Monitor,1,410.99,07/26/24 20:31,"441 Lincoln St, Seattle, WA 98101"
212827,AAA Batteries (4-pack),1,4.99,07/22/24 12:11,"446 Sunset St, New York City, NY 10001"
212828,AA Batteries (4-pack),1,5.84,07/23/24 13:06,"249 12th St, New York City, NY 10001"
212829,USB-C Charging Cable,1,11.95,07/08/24 13:53,"321 West St, Portland, OR 97035"
212830,USB-C Charging Cable,1,11.95,07/06/24 05:00,"190 4th St, Dallas, TX 75001"
212831,USB-C Charging Cable,1,11.95,07/23/24 15:51,"53 Madison St, New York City, NY 10001"
212832,Lightning Charging Cable,1,14.95,07/02/24 16:17,"688 Cherry St, Portland, ME 04101"
212833,AAA Batteries (4-pack),1,4.99,07/16/24 11:11,"919 13th St, Boston, MA 02215"
212834,Lightning Charging Cable,1,14.95,07/08/24 00:39,"504 9th St, San Francisco, CA 94016"
212835,Lightning Charging Cable,1,14.95,07/26/24 16:38,"556 Johnson St, Atlanta, GA 30301"
212836,USB-C Charging Cable,2,11.95,07/21/24 13:06,"448 River St, New York City, NY 10001"
212837,LG UltraGear Monitor,1,399.99,07/25/24 14:38,"561 5th St, San Francisco, CA 94016"
212838,USB-C Charging Cable,1,11.95,07/21/24 13:55,"681 Meadow St, Boston, MA 02215"
212839,Galaxy buds Headphones,1,120,07/31/24 10:15,"495 Lakeview St, Boston, MA 02215"
212840,Galaxy buds Headphones,1,120,07/28/24 13:16,"457 Park St, Los Angeles, CA 90001"
212841,Samsung Odyssey Monitor,1,409.99,07/03/24 14:37,"216 Willow St, San Francisco, CA 94016"
212842,AA Batteries (4-pack),1,5.84,07/06/24 08:11,"803 West St, New York City, NY 10001"
212843,Bose SoundSport Headphones,1,99.99,07/20/24 12:41,"448 9th St, San Francisco, CA 94016"
212844,Galaxy buds Headphones,1,120,07/09/24 10:25,"215 Main St, San Francisco, CA 94016"
212845,Galaxy buds Headphones,1,120,07/31/24 16:40,"545 4th St, Atlanta, GA 30301"
212846,Dell Laptop,1,1500.99,07/04/24 18:40,"612 13th St, Atlanta, GA 30301"
212847,iPhone,1,700,07/19/24 09:02,"724 11th St, San Francisco, CA 94016"
212847,Apple Airpods Headphones,1,150,07/19/24 09:02,"724 11th St, San Francisco, CA 94016"
212848,Apple Airpods Headphones,1,150,07/07/24 07:05,"554 Hickory St, Portland, OR 97035"
212849,LG UltraGear Monitor,1,399.99,07/20/24 14:43,"424 8th St, San Francisco, CA 94016"
212850,USB-C Charging Cable,1,11.95,07/12/24 20:59,"148 Main St, Seattle, WA 98101"
212851,AA Batteries (4-pack),2,5.84,07/17/24 12:20,"926 6th St, Dallas, TX 75001"
212852,Galaxy buds Headphones,1,120,07/24/24 19:02,"238 Jefferson St, Los Angeles, CA 90001"
212853,Bose SoundSport Headphones,1,99.99,07/05/24 22:04,"832 Cedar St, Dallas, TX 75001"
212854,AAA Batteries (4-pack),1,4.99,07/21/24 16:08,"74 Park St, Seattle, WA 98101"
212855,Macbook Pro Laptop,1,1700,07/06/24 18:21,"598 Walnut St, New York City, NY 10001"
212856,iPhone,1,700,07/08/24 12:39,"87 13th St, Los Angeles, CA 90001"
212857,Macbook Pro Laptop,1,1700,07/15/24 12:44,"85 South St, Los Angeles, CA 90001"
212858,Bose SoundSport Headphones,1,99.99,07/06/24 15:21,"983 Park St, Boston, MA 02215"
212859,Apple Airpods Headphones,1,150,07/23/24 15:59,"887 Jackson St, Atlanta, GA 30301"
212860,Lightning Charging Cable,1,14.95,07/01/24 22:01,"478 Highland St, San Francisco, CA 94016"
212861,AAA Batteries (4-pack),2,4.99,07/25/24 09:40,"847 Walnut St, Los Angeles, CA 90001"
212862,Samsung Odyssey Monitor,1,409.99,07/23/24 15:45,"9 Lincoln St, Portland, ME 04101"
212863,Lightning Charging Cable,1,14.95,07/19/24 19:12,"71 Washington St, Portland, OR 97035"
212864,AAA Batteries (4-pack),1,4.99,07/03/24 19:06,"334 5th St, Portland, OR 97035"
212865,Bose SoundSport Headphones,1,99.99,07/18/24 15:17,"257 Chestnut St, Austin, TX 73301"
212866,iPhone,1,700,07/17/24 21:25,"923 Highland St, Boston, MA 02215"
212867,AA Batteries (4-pack),1,5.84,07/15/24 11:41,"635 10th St, New York City, NY 10001"
212868,Lightning Charging Cable,1,14.95,07/07/24 13:56,"570 Johnson St, Seattle, WA 98101"
212869,USB-C Charging Cable,2,11.95,07/21/24 08:49,"263 Park St, Atlanta, GA 30301"
212870,Samsung Odyssey Monitor,1,409.99,07/05/24 16:47,"354 5th St, Dallas, TX 75001"
212871,AA Batteries (4-pack),1,5.84,07/30/24 21:29,"675 12th St, San Francisco, CA 94016"
212872,Apple Airpods Headphones,1,150,07/19/24 23:38,"801 10th St, San Francisco, CA 94016"
212873,Flatscreen TV,1,300,07/22/24 08:54,"920 Walnut St, Boston, MA 02215"
212874,Apple Airpods Headphones,1,150,07/13/24 23:01,"926 Cherry St, Seattle, WA 98101"
212875,USB-C Charging Cable,1,11.95,07/17/24 20:07,"529 7th St, Seattle, WA 98101"
212876,Lightning Charging Cable,1,14.95,07/03/24 13:25,"401 Lakeview St, Los Angeles, CA 90001"
212877,Lightning Charging Cable,1,14.95,07/11/24 12:03,"909 9th St, New York City, NY 10001"
212878,USB-C Charging Cable,1,11.95,07/30/24 21:28,"375 Spruce St, Los Angeles, CA 90001"
212879,USB-C Charging Cable,1,11.95,07/11/24 15:39,"919 North St, Los Angeles, CA 90001"
212880,Apple Airpods Headphones,1,150,07/20/24 10:47,"778 South St, Seattle, WA 98101"
212881,Bose SoundSport Headphones,1,99.99,07/03/24 10:15,"172 1st St, Austin, TX 73301"
212882,Dell Laptop,1,1500.99,07/14/24 12:16,"199 Dogwood St, Dallas, TX 75001"
212883,Lightning Charging Cable,2,14.95,07/19/24 17:54,"522 Walnut St, Austin, TX 73301"
212884,AA Batteries (4-pack),3,5.84,07/02/24 11:46,"345 Wilson St, San Francisco, CA 94016"
212885,AAA Batteries (4-pack),1,4.99,07/21/24 17:48,"690 Dogwood St, Dallas, TX 75001"
212885,Galaxy buds Headphones,1,120,07/21/24 17:48,"690 Dogwood St, Dallas, TX 75001"
212886,Flatscreen TV,1,300,07/28/24 18:32,"189 5th St, San Francisco, CA 94016"
212887,USB-C Charging Cable,2,11.95,07/19/24 13:19,"177 Main St, San Francisco, CA 94016"
