Order ID,Product Name,Units Purchased,Unit Price,Order Date,Delivery Address
198279,Lightning Charging Cable,1,14.95,06/05/24 12:25,"46 7th St, San Francisco, CA 94016"
198280,AAA Batteries (4-pack),2,4.99,06/08/24 18:52,"913 Spruce St, San Francisco, CA 94016"
198281,AA Batteries (4-pack),1,5.84,06/25/24 00:08,"199 Cherry St, Los Angeles, CA 90001"
198282,AA Batteries (4-pack),1,5.84,06/25/24 17:29,"788 Lincoln St, Boston, MA 02215"
198283,AA Batteries (4-pack),1,5.84,06/21/24 19:24,"218 Elm St, New York City, NY 10001"
198284,iPhone,1,700.0,06/17/24 13:33,"622 Jackson St, Los Angeles, CA 90001"
198285,Dell Laptop,1,1500.99,06/12/24 16:29,"316 12th St, Portland, OR 97035"
198286,USB-C Charging Cable,1,11.95,06/24/24 00:49,"444 Dogwood St, Boston, MA 02215"
198287,AAA Batteries (4-pack),1,4.99,06/09/24 21:59,"557 Walnut St, San Francisco, CA 94016"
198288,Bose SoundSport Headphones,1,99.99,06/09/24 18:00,"756 Forest St, Los Angeles, CA 90001"
198289,USB-C Charging Cable,1,11.95,06/11/24 20:23,"157 Highland St, Dallas, TX 75001"
198290,Dell Laptop,1,1500.99,06/04/24 08:34,"449 Lake St, San Francisco, CA 94016"
198291,Apple Airpods Headphones,1,150.0,06/10/24 11:54,"294 Park St, Seattle, WA 98101"
198292,AA Batteries (4-pack),1,5.84,06/25/24 16:39,"353 Cedar St, Portland, OR 97035"
198293,AA Batteries (4-pack),2,5.84,06/29/24 17:27,"559 10th St, Dallas, TX 75001"
198294,LG UltraGear Monitor,1,399.99,06/11/24 17:49,"796 North St, Atlanta, GA 30301"
198295,USB-C Charging Cable,1,11.95,06/08/24 11:29,"842 Park St, San Francisco, CA 94016"
198296,Lightning Charging Cable,1,14.95,06/23/24 20:15,"464 10th St, Austin, TX 73301"
198296,Galaxy buds Headphones,1,120.0,06/23/24 20:15,"464 10th St, Austin, TX 73301"
198297,USB-C Charging Cable,1,11.95,06/13/24 17:36,"579 Ridge St, Portland, OR 97035"
198298,USB-C Charging Cable,1,11.95,06/12/24 09:51,"23 Maple St, Boston, MA 02215"
198299,USB-C Charging Cable,1,11.95,06/29/24 19:57,"901 11th St, San Francisco, CA 94016"
198300,Bose SoundSport Headphones,1,99.99,06/29/24 21:34,"82 Lincoln St, San Francisco, CA 94016"
Order ID,Product Name,Units Purchased,Unit Price,Order Date,Delivery Address
198301,Galaxy buds Headphones,1,120,06/30/24 14:56,"284 1st St, San Francisco, CA 94016"
198302,USB-C Charging Cable,1,11.95,06/27/24 21:11,"14 River St, New York City, NY 10001"
198303,Macbook Pro Laptop,1,1700,06/09/24 15:19,"435 Dogwood St, New York City, NY 10001"
198304,Lightning Charging Cable,1,14.95,06/10/24 15:28,"621 Walnut St, San Francisco, CA 94016"
198305,Galaxy buds Headphones,1,120,06/01/24 16:18,"405 Madison St, Dallas, TX 75001"
198306,Samsung Odyssey Monitor,1,409.99,06/05/24 21:55,"511 13th St, Dallas, TX 75001"
198307,USB-C Charging Cable,1,11.95,06/06/24 13:43,"381 Spruce St, San Francisco, CA 94016"
198308,LG UltraGear Monitor,1,399.99,06/17/24 23:39,"211 Hickory St, San Francisco, CA 94016"
198309,AAA Batteries (4-pack),2,4.99,06/14/24 16:07,"469 Church St, Boston, MA 02215"
198310,Google Phone,1,600,06/07/24 08:18,"624 Spruce St, New York City, NY 10001"
198311,AA Batteries (4-pack),1,5.84,06/07/24 21:28,"237 Center St, Dallas, TX 75001"
198312,Amana Washing Machine,1,600.0,06/12/24 08:58,"510 Washington St, Boston, MA 02215"
198313,Google Phone,1,600,06/12/24 00:55,"498 Willow St, Atlanta, GA 30301"
198314,Lightning Charging Cable,1,14.95,06/30/24 17:30,"343 Lake St, San Francisco, CA 94016"
198315,USB-C Charging Cable,2,11.95,06/05/24 20:28,"651 8th St, New York City, NY 10001"
198316,USB-C Charging Cable,1,11.95,06/08/24 19:26,"682 8th St, Los Angeles, CA 90001"
198317,AA Batteries (4-pack),1,5.84,06/26/24 01:26,"150 Madison St, Los Angeles, CA 90001"
198318,AA Batteries (4-pack),1,5.84,06/22/24 18:45,"518 Chestnut St, Atlanta, GA 30301"
198319,Google Phone,1,600,06/21/24 04:35,"587 Madison St, Los Angeles, CA 90001"
198319,USB-C Charging Cable,1,11.95,06/21/24 04:35,"587 Madison St, Los Angeles, CA 90001"
198320,Bose SoundSport Headphones,1,99.99,06/08/24 22:37,"627 Lake St, San Francisco, CA 94016"
198321,iPhone,1,700,06/18/24 23:28,"807 Meadow St, Los Angeles, CA 90001"
198321,Galaxy buds Headphones,1,120,06/18/24 23:28,"807 Meadow St, Los Angeles, CA 90001"
198322,iPhone,1,700,06/15/24 00:16,"485 Walnut St, San Francisco, CA 94016"
198322,Lightning Charging Cable,1,14.95,06/15/24 00:16,"485 Walnut St, San Francisco, CA 94016"
198323,Galaxy buds Headphones,1,120,06/15/24 07:07,"799 Spruce St, New York City, NY 10001"
198324,USB-C Charging Cable,1,11.95,06/04/24 18:30,"727 South St, Portland, OR 97035"
198324,AA Batteries (4-pack),1,5.84,06/04/24 18:30,"727 South St, Portland, OR 97035"
198325,Galaxy buds Headphones,1,120,06/23/24 11:51,"564 Johnson St, Portland, ME 04101"
198326,Apple Airpods Headphones,1,150,06/10/24 17:07,"121 Park St, Dallas, TX 75001"
198327,Bose SoundSport Headphones,1,99.99,06/18/24 11:46,"842 Lakeview St, Dallas, TX 75001"
198328,AAA Batteries (4-pack),1,4.99,06/14/24 11:41,"234 Dogwood St, Los Angeles, CA 90001"
198329,AAA Batteries (4-pack),1,4.99,06/11/24 19:07,"840 Johnson St, San Francisco, CA 94016"
198330,AA Batteries (4-pack),1,5.84,06/10/24 00:13,"532 5th St, San Francisco, CA 94016"
198331,USB-C Charging Cable,1,11.95,06/26/24 10:05,"69 12th St, Portland, OR 97035"
198331,Amana Washing Machine,1,600.0,06/26/24 10:05,"69 12th St, Portland, OR 97035"
198332,Galaxy buds Headphones,1,120,06/21/24 06:54,"910 Sunset St, Atlanta, GA 30301"
198333,USB-C Charging Cable,1,11.95,06/04/24 10:28,"60 1st St, Seattle, WA 98101"
198334,Galaxy buds Headphones,1,120,06/11/24 17:32,"730 Highland St, San Francisco, CA 94016"
198335,Lightning Charging Cable,1,14.95,06/11/24 11:40,"981 Hill St, New York City, NY 10001"
198336,AAA Batteries (4-pack),1,4.99,06/29/24 17:51,"22 Pine St, Dallas, TX 75001"
198337,AAA Batteries (4-pack),2,4.99,06/16/24 00:30,"966 Johnson St, Atlanta, GA 30301"
198338,Galaxy buds Headphones,1,120,06/22/24 13:48,"859 Walnut St, San Francisco, CA 94016"
198339,Alienware Monitor,1,400.99,06/28/24 10:10,"587 8th St, Los Angeles, CA 90001"
198340,USB-C Charging Cable,1,11.95,06/02/24 08:50,"498 1st St, Boston, MA 02215"
198341,Lightning Charging Cable,2,14.95,06/27/24 01:49,"515 Meadow St, Dallas, TX 75001"
198342,Bose SoundSport Headphones,1,99.99,06/20/24 20:44,"78 Pine St, New York City, NY 10001"
198343,Apple Airpods Headphones,1,150,06/13/24 20:20,"813 Jefferson St, New York City, NY 10001"
198344,Dell UltraSharp Monitor,1,410.99,06/27/24 11:12,"52 13th St, Boston, MA 02215"
198345,Lightning Charging Cable,1,14.95,06/13/24 11:10,"866 Jefferson St, Los Angeles, CA 90001"
198346,LG UltraGear Monitor,1,399.99,06/29/24 22:45,"470 9th St, Dallas, TX 75001"
198347,AA Batteries (4-pack),1,5.84,06/20/24 23:48,"904 2nd St, San Francisco, CA 94016"
198348,Alienware Monitor,1,400.99,06/08/24 12:17,"757 Adams St, Austin, TX 73301"
198349,Apple Airpods Headphones,1,150,06/22/24 00:22,"166 Dogwood St, Los Angeles, CA 90001"
