Order ID,Product Name,Units Purchased,Unit Price,Order Date,Delivery Address
165714,USB-C Charging Cable,1,11.95,03/14/24 11:24,"454 Ridge St, San Francisco, CA 94016"
165715,iPhone,1,700.0,03/23/24 13:05,"640 Wilson St, New York City, NY 10001"
165716,Galaxy buds Headphones,1,120.0,03/05/24 22:43,"665 Hill St, Seattle, WA 98101"
165717,AAA Batteries (4-pack),1,4.99,03/03/24 21:25,"157 Meadow St, San Francisco, CA 94016"
165718,AA Batteries (4-pack),1,5.84,03/11/24 22:55,"865 Meadow St, Atlanta, GA 30301"
165719,USB-C Charging Cable,1,11.95,03/20/24 03:56,"619 Washington St, San Francisco, CA 94016"
165720,Dell UltraSharp Monitor,1,410.99,03/19/24 14:22,"794 Pine St, San Francisco, CA 94016"
165721,Bose SoundSport Headphones,1,99.99,03/22/24 21:35,"593 Willow St, San Francisco, CA 94016"
165722,AA Batteries (4-pack),3,5.84,03/09/24 20:32,"782 Johnson St, Dallas, TX 75001"
165723,Apple Airpods Headphones,1,150.0,03/10/24 14:13,"573 Church St, Boston, MA 02215"
165724,Apple Airpods Headphones,1,150.0,03/07/24 23:07,"25 4th St, San Francisco, CA 94016"
165725,AA Batteries (4-pack),1,5.84,03/16/24 13:53,"786 Johnson St, San Francisco, CA 94016"
165726,AAA Batteries (4-pack),1,4.99,03/17/24 19:36,"514 West St, Los Angeles, CA 90001"
165727,Lightning Charging Cable,1,14.95,03/24/24 19:42,"477 8th St, San Francisco, CA 94016"
165728,Apple Airpods Headphones,1,150.0,03/14/24 12:50,"751 Hickory St, San Francisco, CA 94016"
165729,Apple Airpods Headphones,1,150.0,03/01/24 20:06,"965 South St, Portland, OR 97035"
165730,Lightning Charging Cable,1,14.95,03/22/24 11:03,"568 Madison St, Portland, OR 97035"
165731,Dell UltraSharp Monitor,1,410.99,03/29/24 11:23,"115 Washington St, Seattle, WA 98101"
165732,Lightning Charging Cable,1,14.95,03/17/24 19:46,"127 West St, Seattle, WA 98101"
165733,Dell UltraSharp Monitor,1,410.99,03/01/24 18:02,"15 Church St, Atlanta, GA 30301"
165734,USB-C Charging Cable,2,11.95,03/21/24 07:54,"424 12th St, Los Angeles, CA 90001"
165735,Lightning Charging Cable,1,14.95,03/20/24 18:06,"376 10th St, Boston, MA 02215"
