Order ID,Product Name,Units Purchased,Unit Price,Order Date,Delivery Address
187006,Lightning Charging Cable,1,14.95,05/20/24 11:45,"992 Maple St, Dallas, TX 75001"
187007,Macbook Pro Laptop,1,1700.0,05/23/24 02:39,"674 Adams St, Los Angeles, CA 90001"
187008,USB-C Charging Cable,2,11.95,05/28/24 01:15,"850 13th St, San Francisco, CA 94016"
187009,Bose SoundSport Headphones,1,99.99,05/25/24 21:50,"293 Wilson St, San Francisco, CA 94016"
187010,Amana Washing Machine,1,600.0,05/09/24 23:24,"534 Wilson St, Austin, TX 73301"
187011,Bose SoundSport Headphones,1,99.99,05/13/24 19:14,"48 Ridge St, Los Angeles, CA 90001"
,,,,,
187012,AA Batteries (4-pack),2,5.84,05/11/24 20:37,"253 Main St, Boston, MA 02215"
187013,AA Batteries (4-pack),1,5.84,05/27/24 10:50,"172 Lake St, Boston, MA 02215"
187014,Dell UltraSharp Monitor,1,410.99,05/07/24 16:11,"502 Cherry St, Los Angeles, CA 90001"
187015,AA Batteries (4-pack),1,5.84,05/27/24 15:53,"559 Church St, Los Angeles, CA 90001"
187016,Alienware Monitor,1,400.99,05/15/24 12:53,"137 Hill St, Portland, OR 97035"
187017,AAA Batteries (4-pack),1,4.99,05/30/24 13:55,"627 Park St, San Francisco, CA 94016"
187018,USB-C Charging Cable,1,11.95,05/11/24 23:36,"841 Maple St, New York City, NY 10001"
187019,Galaxy buds Headphones,1,120,05/13/24 16:30,"935 6th St, Dallas, TX 75001"
187020,USB-C Charging Cable,1,11.95,05/06/24 09:33,"457 10th St, Dallas, TX 75001"
187021,USB-C Charging Cable,1,11.95,05/29/24 10:54,"900 12th St, Los Angeles, CA 90001"
187022,AAA Batteries (4-pack),2,4.99,05/18/24 21:05,"226 4th St, Los Angeles, CA 90001"
187023,Galaxy buds Headphones,1,120,05/10/24 17:31,"900 6th St, Portland, ME 04101"
187024,Dell Laptop,1,1500.99,05/23/24 13:08,"840 9th St, Los Angeles, CA 90001"
187025,Apple Airpods Headphones,1,150,05/14/24 13:55,"289 1st St, Boston, MA 02215"
187026,Alienware Monitor,1,400.99,05/23/24 00:41,"440 Sunset St, San Francisco, CA 94016"
187027,Apple Airpods Headphones,1,150,05/08/24 07:32,"583 Jefferson St, New York City, NY 10001"
187028,USB-C Charging Cable,1,11.95,05/04/24 22:42,"966 Elm St, Boston, MA 02215"
187029,Google Phone,1,600,05/02/24 20:03,"154 Madison St, Atlanta, GA 30301"
187030,Apple Airpods Headphones,1,150,05/19/24 10:56,"926 Park St, Atlanta, GA 30301"
187031,Lightning Charging Cable,1,14.95,05/06/24 11:26,"133 Center St, Boston, MA 02215"
187032,Samsung Galaxy Phone,1,650,05/21/24 10:33,"586 Highland St, Dallas, TX 75001"
187033,LG UltraGear Monitor,1,399.99,05/13/24 09:47,"590 Cherry St, Dallas, TX 75001"
187034,Flatscreen TV,1,300,05/18/24 22:08,"608 Chestnut St, Los Angeles, CA 90001"
187035,Macbook Pro Laptop,1,1700,05/29/24 15:10,"971 Sunset St, San Francisco, CA 94016"
187036,iPhone,1,700,05/02/24 13:48,"415 Main St, Seattle, WA 98101"
187036,Lightning Charging Cable,2,14.95,05/02/24 13:48,"415 Main St, Seattle, WA 98101"
187037,Lightning Charging Cable,1,14.95,05/28/24 15:32,"642 Maple St, San Francisco, CA 94016"
187038,Apple Airpods Headphones,1,150,05/31/24 09:51,"60 Elm St, Dallas, TX 75001"
187039,Alienware Monitor,1,400.99,05/09/24 10:44,"671 Dogwood St, Boston, MA 02215"
187040,USB-C Charging Cable,2,11.95,05/06/24 23:44,"617 Hickory St, San Francisco, CA 94016"
187041,Samsung Odyssey Monitor,1,409.99,05/09/24 16:52,"984 Dogwood St, Los Angeles, CA 90001"
187042,AA Batteries (4-pack),2,5.84,05/21/24 10:28,"480 Chestnut St, Seattle, WA 98101"
187043,Dell UltraSharp Monitor,1,410.99,05/22/24 15:37,"197 9th St, Atlanta, GA 30301"
187043,LG UltraGear Monitor,1,399.99,05/22/24 15:37,"197 9th St, Atlanta, GA 30301"
187044,Google Phone,1,600,05/19/24 22:41,"138 River St, San Francisco, CA 94016"
187044,USB-C Charging Cable,1,11.95,05/19/24 22:41,"138 River St, San Francisco, CA 94016"
187045,AAA Batteries (4-pack),2,4.99,05/29/24 11:10,"409 14th St, San Francisco, CA 94016"
187046,Apple Airpods Headphones,1,150,05/22/24 03:21,"982 River St, San Francisco, CA 94016"
187047,USB-C Charging Cable,1,11.95,05/21/24 16:52,"885 Church St, New York City, NY 10001"
187048,LG UltraGear Monitor,1,399.99,05/27/24 13:16,"613 Main St, San Francisco, CA 94016"
187049,Bose SoundSport Headphones,1,99.99,05/25/24 14:03,"299 9th St, Austin, TX 73301"
187050,AAA Batteries (4-pack),2,4.99,05/31/24 20:26,"993 Sunset St, San Francisco, CA 94016"
187051,Flatscreen TV,1,300,05/30/24 18:24,"758 6th St, New York City, NY 10001"
187052,Apple Airpods Headphones,1,150,05/11/24 15:37,"570 Hill St, Atlanta, GA 30301"
187053,Bose SoundSport Headphones,1,99.99,05/18/24 19:06,"319 Main St, San Francisco, CA 94016"
187054,Galaxy buds Headphones,1,120,05/22/24 10:33,"169 Sunset St, Seattle, WA 98101"
187055,Dell UltraSharp Monitor,1,410.99,05/05/24 18:55,"834 Lakeview St, San Francisco, CA 94016"
187056,AAA Batteries (4-pack),1,4.99,05/23/24 14:56,"632 12th St, Boston, MA 02215"
187057,USB-C Charging Cable,1,11.95,05/16/24 16:04,"457 13th St, San Francisco, CA 94016"
187058,iPhone,1,700,05/24/24 12:32,"907 5th St, Austin, TX 73301"
187058,Lightning Charging Cable,1,14.95,05/24/24 12:32,"907 5th St, Austin, TX 73301"
