Order ID,Product Name,Units Purchased,Unit Price,Order Date,Delivery Address
248381,Google Phone,1,600.0,10/16/24 11:15,"190 2nd St, Seattle, WA 98101"
248382,Flatscreen TV,1,300.0,10/17/24 18:41,"694 1st St, Dallas, TX 75001"
248383,iPhone,1,700.0,10/27/24 20:51,"261 Adams St, Dallas, TX 75001"
248384,Dell Laptop,1,1500.99,10/06/24 10:30,"644 11th St, Los Angeles, CA 90001"
248385,AA Batteries (4-pack),1,5.84,10/27/24 17:27,"398 Cherry St, Seattle, WA 98101"
248386,AAA Batteries (4-pack),1,4.99,10/10/24 16:27,"918 12th St, San Francisco, CA 94016"
248387,Samsung Odyssey Monitor,1,409.99,10/17/24 13:00,"230 Sunset St, New York City, NY 10001"
248388,Apple Airpods Headphones,1,150.0,10/08/24 19:04,"150 Dogwood St, Los Angeles, CA 90001"
248389,Lightning Charging Cable,1,14.95,10/27/24 13:26,"821 Jackson St, San Francisco, CA 94016"
248390,AAA Batteries (4-pack),1,4.99,10/22/24 16:24,"775 South St, New York City, NY 10001"
248391,Dell Laptop,1,1500.99,10/04/24 19:36,"484 Church St, San Francisco, CA 94016"
248392,Flatscreen TV,1,300.0,10/11/24 12:46,"64 Walnut St, San Francisco, CA 94016"
248393,Dell UltraSharp Monitor,1,410.99,10/23/24 15:37,"18 Ridge St, Boston, MA 02215"
248394,Bose SoundSport Headphones,1,99.99,10/01/24 12:04,"555 Johnson St, Los Angeles, CA 90001"
248395,Dell UltraSharp Monitor,1,410.99,10/06/24 23:49,"73 6th St, Seattle, WA 98101"
248395,Bose SoundSport Headphones,1,99.99,10/06/24 23:49,"73 6th St, Seattle, WA 98101"
248396,AA Batteries (4-pack),1,5.84,10/23/24 16:35,"13 Jefferson St, San Francisco, CA 94016"
248397,Apple Airpods Headphones,1,150.0,10/18/24 07:34,"946 Walnut St, San Francisco, CA 94016"
248398,AAA Batteries (4-pack),1,4.99,10/29/24 21:10,"870 1st St, Boston, MA 02215"
248399,Galaxy buds Headphones,1,120.0,10/06/24 09:46,"434 Johnson St, Austin, TX 73301"
248400,Samsung Odyssey Monitor,1,409.99,10/28/24 21:58,"290 Pine St, Portland, ME 04101"
248401,Apple Airpods Headphones,1,150.0,10/09/24 20:55,"442 Main St, San Francisco, CA 94016"
248402,Flatscreen TV,1,300.0,10/02/24 20:12,"726 Willow St, New York City, NY 10001"
248403,Macbook Pro Laptop,1,1700.0,10/12/24 13:07,"615 Dogwood St, Los Angeles, CA 90001"
248404,Samsung Odyssey Monitor,1,409.99,10/06/24 16:14,"98 Chestnut St, Seattle, WA 98101"
248405,Bose SoundSport Headphones,1,99.99,10/08/24 11:35,"673 Main St, New York City, NY 10001"
248406,USB-C Charging Cable,1,11.95,10/18/24 16:24,"383 Willow St, Seattle, WA 98101"
248407,Apple Airpods Headphones,1,150.0,10/15/24 14:59,"156 Spruce St, San Francisco, CA 94016"
248408,AAA Batteries (4-pack),1,4.99,10/11/24 08:38,"748 Church St, Portland, OR 97035"
248409,AAA Batteries (4-pack),1,4.99,10/02/24 01:57,"990 South St, San Francisco, CA 94016"
248410,Lightning Charging Cable,1,14.95,10/06/24 10:27,"406 Wilson St, San Francisco, CA 94016"
248411,Galaxy buds Headphones,1,120.0,10/30/24 17:57,"405 Park St, Los Angeles, CA 90001"
248412,Galaxy buds Headphones,1,120.0,10/10/24 12:43,"263 Highland St, Boston, MA 02215"
248413,Lightning Charging Cable,1,14.95,10/19/24 12:58,"431 South St, Austin, TX 73301"
248414,Bose SoundSport Headphones,1,99.99,10/18/24 22:55,"348 Walnut St, Los Angeles, CA 90001"
248415,Samsung Galaxy Phone,1,650.0,10/28/24 22:42,"519 Ridge St, Boston, MA 02215"
248415,USB-C Charging Cable,1,11.95,10/28/24 22:42,"519 Ridge St, Boston, MA 02215"
248416,iPhone,1,700.0,10/28/24 10:42,"329 Dogwood St, Boston, MA 02215"
248417,Galaxy buds Headphones,1,120.0,10/25/24 14:45,"341 2nd St, Seattle, WA 98101"
248418,Galaxy buds Headphones,1,120.0,10/05/24 09:22,"299 West St, San Francisco, CA 94016"
248419,Macbook Pro Laptop,1,1700.0,10/08/24 17:20,"464 Dogwood St, New York City, NY 10001"
248420,Amana Dryer,1,600.0,10/07/24 20:10,"88 North St, Los Angeles, CA 90001"
248421,AAA Batteries (4-pack),1,4.99,10/22/24 17:57,"851 Madison St, Austin, TX 73301"
248422,iPhone,1,700.0,10/17/24 07:47,"778 Center St, Los Angeles, CA 90001"
248422,Galaxy buds Headphones,1,120.0,10/17/24 07:47,"778 Center St, Los Angeles, CA 90001"
248423,Lightning Charging Cable,1,14.95,10/03/24 13:46,"31 Ridge St, New York City, NY 10001"
248424,Galaxy buds Headphones,1,120.0,10/09/24 07:45,"721 West St, San Francisco, CA 94016"
248424,iPhone,1,700.0,10/09/24 07:45,"721 West St, San Francisco, CA 94016"
248425,Galaxy buds Headphones,1,120.0,10/05/24 22:24,"892 Dogwood St, Los Angeles, CA 90001"
248426,Bose SoundSport Headphones,1,99.99,10/26/24 07:50,"852 Hill St, Seattle, WA 98101"
248427,Apple Airpods Headphones,1,150.0,10/01/24 15:13,"836 River St, Los Angeles, CA 90001"
248428,Galaxy buds Headphones,1,120.0,10/02/24 18:04,"424 5th St, San Francisco, CA 94016"
248429,Lightning Charging Cable,2,14.95,10/20/24 14:32,"807 River St, Dallas, TX 75001"
248430,Apple Airpods Headphones,1,150.0,10/25/24 15:16,"764 Chestnut St, Portland, OR 97035"
248431,AAA Batteries (4-pack),1,4.99,10/23/24 19:12,"820 Willow St, San Francisco, CA 94016"
248432,Lightning Charging Cable,1,14.95,10/28/24 15:59,"398 Wilson St, San Francisco, CA 94016"
248433,iPhone,1,700.0,10/20/24 23:54,"469 Center St, Austin, TX 73301"
248434,Google Phone,1,600.0,10/08/24 12:31,"993 Center St, Portland, ME 04101"
248435,USB-C Charging Cable,1,11.95,10/15/24 18:43,"710 Chestnut St, Los Angeles, CA 90001"
248436,AAA Batteries (4-pack),1,4.99,10/29/24 18:59,"445 5th St, Seattle, WA 98101"
248437,AA Batteries (4-pack),2,5.84,10/04/24 13:38,"732 Forest St, Austin, TX 73301"
248438,USB-C Charging Cable,2,11.95,10/19/24 10:45,"661 Wilson St, Seattle, WA 98101"
248439,Bose SoundSport Headphones,1,99.99,10/04/24 11:08,"617 Pine St, Los Angeles, CA 90001"
248440,Bose SoundSport Headphones,1,99.99,10/29/24 12:37,"693 10th St, New York City, NY 10001"
248441,Samsung Odyssey Monitor,1,409.99,10/10/24 19:33,"353 Jefferson St, San Francisco, CA 94016"
248442,USB-C Charging Cable,1,11.95,10/12/24 17:29,"290 13th St, Dallas, TX 75001"
248443,AAA Batteries (4-pack),1,4.99,10/10/24 12:25,"610 Forest St, San Francisco, CA 94016"
248444,Lightning Charging Cable,1,14.95,10/31/24 19:15,"838 Center St, Portland, OR 97035"
248445,AA Batteries (4-pack),1,5.84,10/30/24 01:40,"592 5th St, Portland, OR 97035"
248446,Galaxy buds Headphones,1,120.0,10/30/24 23:20,"581 Cherry St, Atlanta, GA 30301"
