Order ID,Product Name,Units Purchased,Unit Price,Order Date,Delivery Address
238652,iPhone,1,700.0,09/14/24 13:46,"690 Johnson St, Portland, OR 97035"
238653,Galaxy buds Headphones,1,120.0,09/04/24 22:40,"679 Ridge St, Dallas, TX 75001"
238654,iPhone,1,700.0,09/23/24 10:45,"631 Jackson St, San Francisco, CA 94016"
238655,Apple Airpods Headphones,1,150.0,09/20/24 17:31,"866 Center St, Dallas, TX 75001"
238656,AA Batteries (4-pack),2,5.84,09/05/24 21:20,"73 12th St, San Francisco, CA 94016"
238657,iPhone,1,700.0,09/04/24 12:47,"540 12th St, Seattle, WA 98101"
238658,Lightning Charging Cable,1,14.95,09/16/24 15:36,"749 Jackson St, Dallas, TX 75001"
238659,Lightning Charging Cable,1,14.95,09/25/24 11:17,"786 Cherry St, San Francisco, CA 94016"
238660,AAA Batteries (4-pack),3,4.99,09/25/24 10:07,"553 Lakeview St, Boston, MA 02215"
238661,AA Batteries (4-pack),1,5.84,09/26/24 16:43,"188 Lake St, Portland, OR 97035"
238662,AAA Batteries (4-pack),1,4.99,09/25/24 18:07,"847 River St, San Francisco, CA 94016"
238663,iPhone,1,700.0,09/22/24 12:12,"144 7th St, Portland, ME 04101"
238663,Lightning Charging Cable,1,14.95,09/22/24 12:12,"144 7th St, Portland, ME 04101"
238664,Alienware Monitor,1,400.99,09/28/24 17:29,"839 Cherry St, Los Angeles, CA 90001"
238665,USB-C Charging Cable,1,11.95,09/20/24 22:07,"889 7th St, Boston, MA 02215"
238666,Galaxy buds Headphones,1,120.0,09/01/24 09:34,"574 Cherry St, San Francisco, CA 94016"
238667,AAA Batteries (4-pack),1,4.99,09/04/24 00:10,"101 West St, Austin, TX 73301"
238668,AAA Batteries (4-pack),1,4.99,09/06/24 09:22,"230 Wilson St, San Francisco, CA 94016"
238669,AA Batteries (4-pack),1,5.84,09/19/24 16:06,"159 Jackson St, New York City, NY 10001"
238670,Samsung Galaxy Phone,1,650.0,09/15/24 08:31,"92 Wilson St, Dallas, TX 75001"
238671,iPhone,1,700.0,09/05/24 16:15,"443 Main St, San Francisco, CA 94016"
238672,Bose SoundSport Headphones,1,99.99,09/07/24 17:43,"242 Main St, Atlanta, GA 30301"
238673,Lightning Charging Cable,2,14.95,09/12/24 18:49,"329 Maple St, Los Angeles, CA 90001"
238674,LG UltraGear Monitor,1,399.99,09/23/24 16:18,"131 8th St, Austin, TX 73301"
238675,AA Batteries (4-pack),1,5.84,09/26/24 21:31,"824 Wilson St, Atlanta, GA 30301"
238676,Amana Dryer,1,600.0,09/05/24 14:31,"291 Chestnut St, New York City, NY 10001"
238677,Lightning Charging Cable,1,14.95,09/12/24 00:05,"759 Madison St, Portland, ME 04101"
238678,AA Batteries (4-pack),2,5.84,09/10/24 13:19,"48 6th St, New York City, NY 10001"
238679,AAA Batteries (4-pack),1,4.99,09/24/24 19:05,"930 Hickory St, Seattle, WA 98101"
238679,Galaxy buds Headphones,1,120.0,09/24/24 19:05,"930 Hickory St, Seattle, WA 98101"
238680,AA Batteries (4-pack),1,5.84,09/17/24 22:04,"351 Ridge St, San Francisco, CA 94016"
238681,AAA Batteries (4-pack),1,4.99,09/20/24 16:44,"175 Jefferson St, Los Angeles, CA 90001"
238682,Dell Laptop,1,1500.99,09/13/24 13:47,"96 Forest St, Atlanta, GA 30301"
238683,Alienware Monitor,1,400.99,09/16/24 20:08,"167 Meadow St, San Francisco, CA 94016"
238684,AA Batteries (4-pack),1,5.84,09/15/24 07:05,"826 Hill St, New York City, NY 10001"
238685,Bose SoundSport Headphones,1,99.99,09/15/24 12:49,"945 Ridge St, Seattle, WA 98101"
238686,USB-C Charging Cable,1,11.95,09/27/24 15:20,"970 5th St, Boston, MA 02215"
238687,Lightning Charging Cable,1,14.95,09/14/24 01:17,"857 Johnson St, New York City, NY 10001"
238688,Macbook Pro Laptop,1,1700.0,09/23/24 10:50,"938 Chestnut St, Dallas, TX 75001"
238689,Apple Airpods Headphones,1,150.0,09/02/24 15:09,"512 Jefferson St, Atlanta, GA 30301"
238690,AA Batteries (4-pack),1,5.84,09/05/24 10:51,"288 Jefferson St, Atlanta, GA 30301"
238691,AA Batteries (4-pack),1,5.84,09/30/24 14:17,"745 2nd St, New York City, NY 10001"
238692,Dell Laptop,1,1500.99,09/10/24 17:10,"432 Maple St, Boston, MA 02215"
238693,AA Batteries (4-pack),1,5.84,09/10/24 13:45,"614 Jackson St, Portland, OR 97035"
238694,AAA Batteries (4-pack),1,4.99,09/12/24 22:28,"147 7th St, New York City, NY 10001"
238695,Apple Airpods Headphones,1,150.0,09/08/24 19:47,"275 Lakeview St, Dallas, TX 75001"
238696,Alienware Monitor,1,400.99,09/09/24 20:12,"195 1st St, San Francisco, CA 94016"
238697,iPhone,1,700.0,09/04/24 13:49,"956 7th St, Portland, ME 04101"
238698,Dell Laptop,1,1500.99,09/09/24 01:34,"89 Center St, Portland, OR 97035"
238699,Lightning Charging Cable,1,14.95,09/27/24 10:58,"95 River St, New York City, NY 10001"
238700,Samsung Odyssey Monitor,1,409.99,09/17/24 11:10,"793 Madison St, San Francisco, CA 94016"
238701,LG UltraGear Monitor,1,399.99,09/16/24 15:27,"306 7th St, San Francisco, CA 94016"
238702,Apple Airpods Headphones,1,150.0,09/11/24 14:05,"840 10th St, Portland, ME 04101"
238703,Dell UltraSharp Monitor,1,410.99,09/24/24 10:18,"557 7th St, Boston, MA 02215"
238704,LG UltraGear Monitor,1,399.99,09/05/24 12:01,"779 Pine St, Austin, TX 73301"
238705,Alienware Monitor,1,400.99,09/30/24 07:33,"770 11th St, Austin, TX 73301"
